"","Country","Confirmed","Death","Recovered","Active","Population"
"136","Russia",1422775,24473,1080461,317841,144373535
"137","Rwanda",4996,34,4797,165,12626950
"138","St. Kitts and Nevis",19,0,19,0,52823
"139","St. Lucia",36,0,27,9,182790
"140","St. Vincent and the Grenadines",68,0,64,4,110589
"141","San Marino",766,42,688,36,33860
"142","Sao Tome and Principe",933,15,898,20,215056
"143","Saudi Arabia",342968,5217,329270,8481,34268528
"144","Senegal",15459,320,13922,1217,16296364
"145","Serbia",36608,780,0,35828,6944975
"146","Seychelles",149,0,148,1,97625
"147","Sierra Leone",2336,73,1765,498,7813215
"148","Singapore",57921,28,57819,74,5703569
"149","Slovak Republic",31400,98,8004,23298,5454073
"150","Slovenia",14473,192,6572,7709,2087946
"151","Solomon Islands",3,0,0,3,669823
"152","Somalia",3890,101,3166,623,15442905
"153","South Africa",706304,18656,639568,48080,58558270
"154","South Sudan",2847,55,1290,1502,11062113
"155","Spain",988322,34210,150376,803736,47076781
"156","Sri Lanka",5811,13,3457,2341,21803000
"157","Sudan",13724,836,6764,6124,42813238
"158","Suriname",5144,109,4979,56,581372
"159","Sweden",106380,5922,0,100458,10285453
"160","Switzerland",86167,2145,54600,29422,8574832
"161","Syria",5180,254,1596,3330,17070135
"162","Tajikistan",10574,80,9617,877,9321018
"163","Tanzania",509,21,183,305,58005463
"164","Thailand",3709,59,3495,155,69625582
"165","Timor-Leste",29,0,28,1,1293119
"166","Togo",2104,51,1555,498,8082366
"167","Trinidad and Tobago",5333,98,3758,1477,1394973
"168","Tunisia",44450,711,5032,38707,11694719
"169","Turkey",351413,9445,306939,35029,83429615
"170","Uganda",10788,97,7066,3625,44269594
"171","Ukraine",317967,5948,134680,177339,44385155
"172","United Arab Emirates",117594,470,110313,6811,9770529
"173","United Kingdom",765487,44057,2626,718804,66834405
"174","Uruguay",2623,52,2142,429,3461734
"175","United States",8295144,221272,3295148,NA,328239523
"176","Uzbekistan",63831,534,60910,2387,33580650
"177","Venezuela",87644,747,80316,6581,28515829
"178","Vietnam",1141,35,1046,60,96462106
"179","West Bank and Gaza",48129,421,41455,6253,4685306
"180","Yemen",2057,597,1338,122,29161922
"181","Zambia",15982,346,15038,598,17861030
"182","Zimbabwe",8187,233,7692,262,14645468
